Date,MyWay,Paper Ticket,Total
02/06/2019,5622,413,6035
09/07/2019,13224,579,13803
16/09/2019,14900,467,15367
12/09/2019,14914,377,15291
08/06/2019,6943,817,7760
02/10/2019,15303,774,16077
28/10/2019,14856,384,15240
21/06/2019,14902,488,15390
01/12/2019,5058,369,5427
29/12/2019,3981,446,4427
05/05/2019,8880,529,9409
21/05/2019,17766,202,17968
28/06/2019,13319,455,13774
02/08/2019,15888,503,16391
25/01/2020,5853,832,6685
16/06/2019,4891,436,5327
22/06/2019,6990,620,7610
22/12/2019,4479,455,4934
10/02/2020,13970,448,14418
11/11/2019,14645,519,15164
16/10/2019,15737,480,16217
21/08/2019,15521,387,15908
20/08/2019,15638,342,15980
14/01/2020,12320,522,12842
20/04/2020,2313,75,2388
21/04/2020,2256,83,2339
05/09/2020,4485,298,4783
03/09/2020,7884,203,8087
23/04/2020,2483,88,2571
22/04/2020,2457,81,2538
24/04/2020,2585,89,2674
25/04/2020,1274,55,1329
26/04/2020,1088,43,1131
27/04/2020,1222,39,1261
04/09/2020,8550,301,8851
28/04/2020,2660,80,2740
29/04/2020,2190,56,2246
30/04/2020,2361,79,2440
01/05/2020,2393,82,2475
02/05/2020,1510,59,1569
03/05/2020,1412,65,1477
04/05/2020,2798,75,2873
05/05/2020,2719,88,2807
07/05/2020,3018,89,3107
06/05/2020,2938,86,3024
09/05/2020,1762,98,1860
08/05/2020,3223,116,3339
10/05/2020,1565,70,1635
11/05/2020,3000,113,3113
12/05/2020,3178,107,3285
13/05/2020,3166,98,3264
14/05/2020,3316,108,3424
16/05/2020,2297,99,2396
15/05/2020,3649,117,3766
17/05/2020,1894,107,2001
19/05/2020,4216,123,4339
18/05/2020,3775,107,3882
20/05/2020,3950,114,4064
22/05/2020,4236,122,4358
23/05/2020,2232,137,2369
21/05/2020,4259,104,4363
24/05/2020,2150,110,2260
25/05/2020,4802,146,4948
26/05/2020,5083,132,5215
27/05/2020,5072,130,5202
30/05/2020,3099,200,3299
28/05/2020,4984,127,5111
29/05/2020,5425,158,5583
01/06/2020,2075,106,2181
08/11/2019,14956,530,15486
31/05/2020,2350,150,2500
